contentType,Date,value
FTP,2024-03-25,255650.0
FTP,2024-09-24,3757688.0
FTP,2024-09-25,11918069.0
FTP,2024-09-26,1461963.0
FTP,2024-09-27,1407363.0
FTP,2024-09-28,626370.0
FTP,2024-09-29,188389.0
FTP,2024-09-30,2971148.0
FTP,2024-10-01,12668302.0
FTP,2024-10-02,1358047.0
FTP,2024-10-03,847297.0
FTP,2024-10-04,1432168.0
FTP,2024-10-05,771621.0
FTP,2024-10-06,307132.0
FTP,2024-10-07,2077968.0
FTP,2024-10-08,916561.0
FTP,2024-10-09,593545.0
FTP,2024-10-10,1236505.0
FTP,2024-10-11,3470424.0
FTP,2024-10-12,226925.0
FTP,2024-12-23,3233015.0
