hour,value
1727434800.0,3304801042080.0
1727438400.0,6933638731277.0
1727442000.0,8156017592612.0
1727445600.0,8584205836819.0
1727452800.0,8465529931105.0
1727463600.0,10981074415940.0
1727470800.0,12089478982281.0
1727474400.0,11803810423000.0
1727478000.0,10008339095742.0
1727481600.0,7602973453436.0
1727488800.0,3795630092782.0
1727496000.0,2009416369926.0
1727499600.0,2279069315173.0
1727503200.0,3241953748310.0
1727510400.0,6798343263131.0
1727517600.0,8858989731828.0
1727528400.0,10416570034265.0
1727539200.0,10056198865371.0
1727542800.0,10225085198344.0
1727546400.0,9874044591138.0
1727557200.0,12209003731820.0
1727560800.0,11750667519670.0
1727564400.0,10346292512267.0
1727571600.0,5197198962690.0
1727575200.0,3445972103041.0
1727578800.0,2318127912902.0
1727582400.0,1808842229103.0
1727586000.0,1950763154748.0
1727589600.0,2747566193484.0
1727596800.0,5746900680670.0
1727604000.0,8115558614350.0
1727607600.0,8907720804796.0
1727611200.0,10173103852042.0
1727618400.0,10657537640775.0
1727632800.0,10248962007302.0
1727643600.0,11250939852510.0
1727647200.0,10657557459645.0
1727650800.0,9262506631197.0
1727654400.0,6345999323413.0
1727658000.0,4247459759656.0
1727661600.0,2916752998182.0
1727665200.0,2107402236789.0
1727668800.0,1770310079098.0
1727686800.0,6138293917090.0
1727690400.0,6310870247697.0
1727704800.0,8022842519872.0
1727712000.0,8018178660752.0
1727722800.0,9513035718098.0
1727730000.0,11110715972170.0
1727733600.0,10547916385634.0
1727737200.0,8843916524150.0
1727740800.0,5974155957625.0
1727744400.0,4056105261230.0
1727755200.0,1882539088869.0
1727758800.0,2303849759880.0
1727766000.0,3929149428176.0
1727773200.0,6836778989485.0
1727776800.0,6524677822258.0
1727784000.0,7417367710863.0
1727787600.0,8678865155436.0
1727791200.0,7605756966414.0
1727798400.0,7966838454981.0
1727812800.0,11214056093427.0
1727816400.0,11357229223979.0
1727820000.0,10934328996714.0
1727823600.0,8699123911414.0
1727827200.0,4408744919571.0
1727830800.0,3851448051515.0
1727834400.0,2727551053503.0
1727841600.0,1882213103153.0
1727845200.0,2147594740698.0
1727848800.0,3015021674755.0
1727856000.0,5961619273894.0
1727874000.0,8608132649310.0
1727881200.0,7099967840011.0
1727884800.0,7555860233607.0
1727895600.0,8172648123697.0
1727902800.0,9743990897673.0
1727906400.0,9450807584593.0
1727910000.0,8115888531621.0
1727913600.0,5548053026897.0
1727917200.0,3636984459648.0
1727920800.0,2565181228034.0
1727928000.0,1671849796307.0
1727931600.0,1995660046353.0
1727938800.0,3473319078392.0
1727942400.0,4590883811764.0
1727949600.0,5946331101779.0
1727956800.0,6502112906922.0
1727960400.0,7407895462779.0
1727971200.0,7412204815893.0
1727989200.0,10485451692371.0
1727992800.0,9835507420945.0
1727996400.0,8623847741636.0
1728000000.0,6208262105111.0
1728007200.0,2917817283714.0
1728010800.0,2209089634392.0
1728014400.0,1921360019189.0
1728018000.0,2301015399697.0
1728028800.0,4976661428848.0
1728050400.0,7282627859787.0
1728057600.0,7380667041411.0
1728061200.0,9030064595822.0
1728075600.0,11699160194057.0
1728079200.0,11623480813857.0
1728090000.0,4588869217340.0
1728100800.0,1835175605411.0
1728104400.0,2029866213503.0
1728108000.0,2733578980512.0
1728111600.0,4088892867026.0
1728115200.0,6244529562959.0
1728122400.0,8579536340400.0
1728140400.0,10294958421728.0
1728144000.0,9842508487947.0
1728151200.0,10024814354385.0
1728162000.0,12019002771422.0
1728165600.0,11647247459973.0
1728169200.0,9785604814642.0
1728176400.0,5173936598481.0
1728180000.0,3667563382544.0
1728183600.0,2593272552489.0
1728187200.0,1971160509823.0
1728190800.0,2126229417068.0
1728201600.0,5854499680685.0
1728208800.0,8139135795719.0
1728212400.0,8548709087838.0
1728216000.0,9395525449026.0
1728219600.0,9637682628322.0
1728223200.0,10297856371963.0
1728230400.0,10116439953291.0
1728237600.0,10517110719196.0
1728241200.0,10290621005258.0
1728248400.0,11073716783222.0
1728252000.0,10495415983271.0
1728262800.0,4055065156597.0
1728266400.0,3320303696077.0
1728270000.0,1688263530768.0
1728273600.0,1592578367333.0
1728306000.0,7519462288730.0
1728313200.0,7841708152666.0
1728316800.0,7591597891183.0
1728334800.0,10595106836166.0
1728338400.0,9911354314640.0
1728342000.0,8468164823306.0
1728345600.0,5957592350903.0
1728349200.0,3878038106617.0
1728352800.0,2783942777362.0
1728356400.0,2089498459628.0
1728360000.0,1768226600426.0
1728374400.0,4701475427852.0
1728378000.0,364436135500.0
